date,regular_pay_rate
2017-01-01,1.9607843137254832
2017-02-01,1.7353579175704903
2017-03-01,1.952277657266821
2017-04-01,1.7278617710583255
2017-05-01,2.3809523809523725
2017-06-01,1.93965517241379
2017-07-01,2.155172413793105
2017-08-01,2.37068965517242
2017-09-01,2.3655913978494647
2017-10-01,2.580645161290329
2017-11-01,2.3554603854389677
2017-12-01,2.569593147751603
2018-01-01,2.564102564102555
2018-02-01,2.771855010660973
2018-03-01,2.9787234042553123
2018-04-01,2.547770700636942
2018-05-01,2.5369978858351017
2018-06-01,2.9598308668076
2018-07-01,3.164556962025311
2018-08-01,3.368421052631576
2018-09-01,3.1512605042016917
2018-10-01,3.3542976939203273
2018-11-01,3.347280334728042
2018-12-01,3.3402922755741082
2019-01-01,3.750000000000009
2019-02-01,3.319502074688807
2019-03-01,3.305785123966931
2019-04-01,4.140786749482395
2019-05-01,3.9175257731958846
2019-06-01,3.901437371663241
2019-07-01,3.6809815950920255
2019-08-01,3.462321792260692
2019-09-01,3.462321792260692
2019-10-01,3.2454361054766734
2019-11-01,3.238866396761142
2019-12-01,3.232323232323231
2020-01-01,2.8112449799196693
2020-02-01,2.8112449799196693
2020-03-01,2.400000000000002
2020-04-01,-0.1988071570576566
2020-05-01,-0.1984126984126977
2020-06-01,-0.19762845849802257
2020-07-01,0.9861932938856066
2020-08-01,1.9685039370078705
2020-09-01,2.952755905511806
2020-10-01,3.5363457760314354
2020-11-01,4.117647058823537
2020-12-01,4.305283757338563
2021-01-01,4.296875
2021-02-01,4.4921875
2021-03-01,4.8828125
2021-04-01,7.569721115537842
2021-05-01,7.355864811133195
2021-06-01,7.128712871287135
2021-07-01,6.0546875
2021-08-01,5.019305019305009
2021-09-01,4.206500956022952
2021-10-01,3.984819734345346
2021-11-01,3.766478342749524
2021-12-01,3.9399624765478425
2022-01-01,4.681647940074907
2022-02-01,4.485981308411224
2022-03-01,4.655493482309114
2022-04-01,4.2592592592592515
2022-05-01,5.185185185185182
2022-06-01,5.175600739371533
2022-07-01,5.524861878453047
2022-08-01,5.882352941176472
2022-09-01,6.055045871559628
2022-10-01,6.569343065693434
2022-11-01,6.896551724137923
2022-12-01,6.678700361010836
2023-01-01,6.261180679785339
2023-02-01,7.155635062611809
2023-03-01,7.117437722419928
2023-04-01,7.815275310834813
2023-05-01,7.746478873239426
2023-06-01,8.084358523725843
2023-07-01,7.853403141361248
2023-08-01,7.8125
2023-09-01,7.61245674740485
2023-10-01,6.164383561643838
2023-11-01,6.112054329371808
2023-12-01,6.091370558375631
2024-01-01,6.060606060606055
2024-02-01,5.843071786310516
2024-03-01,6.146179401993357
2024-04-01,5.766062602965394
2024-05-01,5.392156862745101
2024-06-01,5.36585365853659
2024-07-01,5.177993527508096
2024-08-01,4.8309178743961345
2024-09-01,5.305466237942125
2024-10-01,6.129032258064515
2024-11-01,5.600000000000005
2024-12-01,6.060606060606055
2025-01-01,5.873015873015874
2025-02-01,5.6782334384858135
